Combination,x_est_1,x_est_2,x_est_3,x_est_4,x_est_5,x_est_6,x_est_7,x_est_8,Residual,CondNum
"A,B,C,D,E,F,N,O",5.79019842958263,24.105210227052968,0.0,0.0,0.0,11.182377286968626,1.4062584613004183,23.51595559509536,0.0,3.1642778559551853e+35
"A,B,C,D,E,F,N,P",8.706787228454528,21.662401981015314,0.0,0.0,0.0,10.714666266461562,1.6858139796645732,28.230330544404023,0.0,4.076422669652421e+35
"A,B,C,D,E,F,N,Q",10.676084152187387,19.973435683457836,0.0,0.0,0.0,10.145625965504612,9.245847334809138,6.9590068640410285,0.0,9.719901416315363e+34
"A,B,C,D,E,F,N,R",15.115742156442987,16.286572686685865,0.0,0.0,10.481912421258636,0.0,8.552779646504804,11.562993089107705,0.0,2.371948628721551e+50
"A,B,C,D,E,F,N,S",15.903448067906027,15.499208467140045,0.0,0.0,10.480769520708003,0.0,8.575331313039928,16.541242631205982,0.0,4.319066875260366e+50
"A,B,C,D,E,F,N,T",15.368999669858031,15.903383955100693,0.0,0.0,10.625569494882797,0.0,8.414592274678109,21.68745460548036,0.0,5.134039357011582e+50
"A,B,C,D,E,F,O,P",11.140711720535476,3.0870606159539076,0.0,20.022091631298185,0.0,8.603765371639994,0.0,33.14637066057242,0.0,inf
"A,B,C,D,E,F,O,Q",15.706656038262201,15.612395376644123,0.0,0.0,10.492427261857317,0.0,13.359505779194908,6.829015544041454,0.0,6.278013836351297e+49
"A,B,C,D,E,F,O,R",15.341981132075444,16.107311320754736,0.0,0.0,10.416273584905658,0.0,13.469339622641515,11.665094339622641,0.0,7.356572735734807e+49
"A,B,C,D,E,F,O,S",16.166274383937857,15.280865518348088,0.0,0.0,10.418574587211593,0.0,13.497753289825614,16.636532220676855,0.0,1.5946716346462164e+50
"A,B,C,D,E,F,O,T",15.693347193347174,15.630457380457386,0.0,0.0,10.550415800415811,0.0,13.291060291060298,21.834719334719342,0.0,2.004849781083676e+50
"A,B,C,D,E,F,P,Q",10.612043905616543,20.028359761610766,0.0,0.0,0.0,10.16413078351498,19.300164305783767,6.895301243473949,0.0,1.1037374542505745e+37
"A,B,C,D,E,F,P,R",10.30525729245906,20.480417823848807,0.0,0.0,0.0,10.082627231076764,19.407466699686903,11.724230952928467,0.0,5.98498637371837e+34
"A,B,C,D,E,F,P,S",11.166443571378908,19.618272373270287,0.0,0.0,0.0,10.083556428621101,19.437260969334538,16.694466657395168,0.0,7.154040599299188e+35
"A,B,C,D,E,F,P,T",10.54894671623298,20.08921933085501,0.0,0.0,0.0,10.225526641883516,19.23420074349443,21.90210656753407,0.0,1.4850943754349713e+35
"A,B,C,D,E,F,Q,R",13.075190914431158,18.561973761503825,0.0,0.0,7.64382220481695,2.486782847072619,0.0,16.232230272175443,0.0,inf
"A,B,C,D,E,F,Q,S",16.742406766628225,14.96424452133794,0.0,0.0,8.834678969627046,1.3402537485582624,0.0,21.118415993848515,0.0,inf
"A,B,C,D,E,F,Q,T",15.831196581196604,15.443376068376045,0.0,0.0,9.949786324786324,0.0,23.94444444444455,2.831196581196471,0.0,2.0069169816338282e+49
"A,B,C,D,E,F,R,S",3.4266692774623433,27.464950068533348,0.0,0.0,1.5908556882711915,8.538280791070893,26.979244174662234,0.0,0.0,inf
"A,B,C,D,E,F,R,T",10.878337702689597,19.560442761433148,0.0,0.0,0.0,10.418681425381099,7.669385377221128,24.473152733275025,0.0,6.21151239967545e+34
"A,B,C,D,E,F,S,T",9.836752971828702,20.632388861748893,0.0,0.0,0.0,10.389268848721708,13.04567659990233,24.095912717798356,0.0,2.0249156949256665e+34
"A,B,C,D,E,G,H,I",16.591981132075436,16.62323113207551,0.0,0.0,26.425117924528376,3.507075471698028,0.0,4.852594339622638,0.0,inf
"A,B,C,D,E,G,H,J",18.176228209191837,15.204278922345415,0.0,0.0,28.411885895404193,1.2158478605387326,0.0,9.991759112519821,0.0,inf
"A,B,C,D,E,G,H,K",16.25895663104963,16.87649277184164,0.0,0.0,27.39566310496543,2.4940289126335617,0.0,14.974858579509737,0.0,inf
"A,B,C,D,E,G,H,L",16.81037386325362,16.26288312563153,0.0,0.0,26.978275513641,2.831929942741613,0.0,20.116537554732243,0.0,inf
"A,B,C,D,E,G,H,M",1.243330638641877,28.52344381568309,0.0,3.290218270008111,30.368229587712193,0.0,0.0,5.574777687954721,0.0,inf
"A,B,C,D,E,G,H,N",1.0256035113387088,26.40636430138988,0.0,5.963423555230464,30.179590343818575,0.0,0.0,10.425018288222379,0.0,inf
"A,B,C,D,E,G,H,O",1.0447227191412376,29.696779964221832,0.0,1.9534883720931178,30.562611806797847,0.0,0.0,15.742397137745973,0.0,inf
"A,B,C,D,E,G,H,P",1.5551537070524528,29.388788426763078,0.0,1.810126582278515,30.484629294755862,0.0,0.0,20.761301989150084,0.0,inf
"A,B,C,D,E,G,H,Q",7.516236722306523,23.683611532625196,0.0,0.0,5.134901365705644,26.75811836115323,0.0,6.907132018209414,0.0,1.1458572953193332e+52
"A,B,C,D,E,G,H,R",7.533039647577058,23.7270190895742,0.0,0.0,3.282378854625636,28.612041116005784,0.0,11.845521292217322,0.0,inf
"A,B,C,D,E,G,H,S",8.572769953051658,22.663732394366168,0.0,0.0,2.789319248826228,29.130281690140922,0.0,16.843896713615035,0.0,inf
"A,B,C,D,E,G,H,T",7.264826776277192,23.98737522019963,0.0,0.0,6.192894891368298,25.709923664121998,0.0,21.84497944803288,0.0,inf
"A,B,C,D,E,G,I,J",13.679245283018895,16.999999999999957,0.0,1.5566037735849294,14.64150943396226,0.0,12.122641509433967,0.0,0.0,inf
"A,B,C,D,E,G,I,K",20.594894561598288,8.999999999999917,0.0,3.941731409544969,13.810210876803545,0.0,16.653163152053285,0.0,0.0,inf
"A,B,C,D,E,G,I,L",15.945615982241952,13.499999999999975,0.0,4.814095449500579,14.608768035516093,0.0,20.131520532741394,0.0,0.0,inf
"A,B,C,D,E,G,I,M",0.0,17.814583333333324,0.0,15.488392857142866,14.297023809523807,0.0,2.14077380952381,5.259226190476194,0.0,inf
"A,B,C,D,E,G,I,N",0.0,16.034783187017794,0.0,17.53551476456508,14.14225857940941,0.0,2.161878159084864,10.125565309922855,0.0,inf
"A,B,C,D,E,G,I,O",27.23450134770878,0.0,0.0,6.3409703504044375,13.245283018867918,0.0,5.464959568733149,12.71428571428572,0.0,3.315770536050114e+49
"A,B,C,D,E,G,I,P",27.188679245283073,0.0,0.0,6.349056603773541,13.289308176100619,0.0,5.506289308176108,17.666666666666654,0.0,8.064071788183659e+49
"A,B,C,D,E,G,I,Q",16.8748367751608,15.010917928132715,0.0,0.0,14.261244377811092,0.0,3.9624945591720264,5.890506359723369,0.0,3.800231818427819e+50
"A,B,C,D,E,G,I,R",17.195050062849518,14.786235967231539,0.0,0.0,14.194237354254248,0.0,4.0263751029431,10.798101512721601,0.0,7.288095218628744e+50
"A,B,C,D,E,G,I,S",17.714825186693776,14.273580702647717,0.0,0.0,14.187743974881187,0.0,4.042578920570257,15.781271215207061,0.0,1.9445868030453572e+50
"A,B,C,D,E,G,I,T",16.551837334639842,15.315090641842271,0.0,0.0,14.309260166585009,0.0,3.9216560509554146,20.90215580597746,0.0,4.701842796593542e+50
"A,B,C,D,E,G,J,K",9.03555304740407,16.99999999999994,0.0,6.035553047404118,14.651805869074488,0.0,0.0,22.277088036117387,0.0,inf
"A,B,C,D,E,G,J,L",16.059101654846287,0.0,0.0,19.57704706640884,13.140769396088539,0.0,20.258972705781307,4.9641091768750165,0.0,1.6615092392542763e+49
"A,B,C,D,E,G,J,M",0.0,18.615991206270277,0.0,14.576276046645033,14.38013764098643,0.0,7.172146817052191,5.255448289046074,0.0,inf
"A,B,C,D,E,G,J,N",0.0,16.821773401119266,0.0,16.639744520869897,14.22378989191267,0.0,7.1924210706199,10.122271115478275,0.0,inf
"A,B,C,D,E,G,J,O",0.0,19.42514249856185,0.0,13.484233645348642,14.52627725775244,0.0,7.190660461224707,15.373686137112378,0.0,inf
"A,B,C,D,E,G,J,P",0.0,19.505509004842416,0.0,13.436884487730639,14.486084661842318,0.0,7.1422275423037185,20.429294303280916,0.0,inf
"A,B,C,D,E,G,J,Q",17.20111229440298,14.668891255472785,0.0,0.0,14.208638031002247,0.0,8.941971364335568,5.97938705478642,0.0,3.3925180804715132e+50
